"Enabled","Enabled"
"Title","Title"
"Subtitle","Subtitle"
"URL MyPudo","DPD Relais Webservice URL"
"ID trader","ID trader"
"Security Key","Security Key"
"Your DPD Depot #","Your DPD Depot #"
"Your DPD Relais contract #","Your DPD Relais contract #"
"Shipping rates configuration","Shipping rates configuration"
"Display when unavailable","Display when unavailable"
"Yes","Yes"
"No","No"
"Displayed Error Message","Displayed Error Message"
"Sort Order","Sort Order"

"Find DPD Pickup points near this address : ","Find DPD Pickup points near this address : "
"Your Pickup delivery by DPD","Your Pickup delivery by DPD"
"More details","More details"
"You have to choose an address for your shipping!","You have to choose an address for your shipping!"
"Your shopping cart is too heavy for being shipped in a Pickup point","Your shopping cart is too heavy for being shipped in a Pickup point"
"An error ocurred while fetching the DPD Pickup points. Please try again","An error ocurred while fetching the DPD Pickup points. Please try again"
"There are no DPD Pickup points for the selected adress. Please modify it.","There are no DPD Pickup points for the selected adress. Please modify it."
"The field Postal Code is mandatory!","The field Postal Code is mandatory!"
"The field City is mandatory!","The field City is mandatory!"

"Your DPD Pickup point","Your DPD Pickup point"
"Method Name","Method Name"
"Distance in KM","Distance in KM"
"DPD Pickup ID#","DPD Pickup ID#"
"Opening hours","Opening hours"
"More info","More info"
"Closing period","Closing period"
"Opening hours","Opening hours"
"info","info"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"Closed","Closed"
"Attention, this DPD Pickup point will be unavailable from","Attention, this DPD Pickup point will be unavailable from"
"Jan","Jan"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","May"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dec"
